#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
learning_languages_4_desc;Everything you had ever wondered about the [From.OriginalOwner.Culture.GetName] spoken language, neatly composed into sections on history, myths, advanced exercises as well as personal anecdotes from the life of [From.OriginalOwner.GetTitledFirstName].;Tout ce que vous vous êtes toujours demandé sur la langue parlée [From.OriginalOwner.Culture.GetName], habilement composé en chapitres sur l'histoire, les mythes, des exercices difficiles et des anecdotes personnelles de la vie de [From.OriginalOwner.GetTitledFirstName].;Alles, worüber man sich jemals bei der [From.OriginalOwner.Culture.GetName]en Sprache gewundert hat. Ordentlich in die Abschnitte Geschichte, Mythen, fortgeschrittene Übungen und Anekdoten aus dem Leben von [From.OriginalOwner.GetTitledFirstName] zusammengestellt.;;Todo lo que nos preguntamos sobre el lenguaje hablado [From.OriginalOwner.Culture.GetName], cuidadosamente redactado con secciones sobre historia, mitos, ejercicios avanzados además de anécdotas personales de la vida de [From.OriginalOwner.GetTitledFirstName].;;;;;;;;;x
the_not_actual_holy_book;[From.OriginalOwner.Religion.GetScriptureName] Improved;Version améliorée [From.OriginalOwner.GetTrueReligionScriptureNameDuDelaDes];Verbesserung der [From.OriginalOwner.Religion.GetScriptureName];;[From.OriginalOwner.Religion.GetScriptureName] mejorada;;;;;;;;;x
the_not_actual_holy_book_desc;While it said that the [From.OriginalOwner.GetTitle] found great comfort in the nonsensical tales of this book, the local religious authorities are known to frown upon the work.;Bien qu'on dise que [From.OriginalOwner.GetTitle] trouvait un grand réconfort dans les contes absurdes de ce livre, les autorités religieuses locales sont connues pour froncer les sourcils à propos de ce travail.;Auch wenn man sagt, dass [From.OriginalOwner.Getderdie] [From.OriginalOwner.GetTitle] in den unsinnigen Geschichten dieses Buches viel Trost gefunden hat, runzeln religiöse Autoritäten darüber nur die Stirn.;;Aunque se cuenta que [From.OriginalOwner.GetTitle] encontró gran consuelo en las disparatas historias de este libro, se sabe que las autoridades religiosas locales desaprueban la obra.;;;;;;;;;x
#the_republic;The Republic;La République;Die Republik;;La república;;;;;;;;;x
#the_republic_rename;The [Root.Government.GetName];[Root.Government.GetName];[Root.Government.GetName];;El [Root.Government.GetName];;;;;;;;;x
the_republic_desc;Inspired by the ancient Romans, [From.OriginalOwner.GetTitledFirstName] delves into the more philosophical aspects of society, and in particular regarding [From.OriginalOwner.GetHerHis] own role in it, as a modern [From.OriginalOwner.GetManWoman] and [From.OriginalOwner.GetTitle].;Inspiré par les anciens Romains, [From.OriginalOwner.GetTitledFirstName] traite les aspects les plus philosophiques de la société, et en particulier ceux concernant son propre rôle en elle, en tant que [From.OriginalOwner.GetManWoman] et [From.OriginalOwner.GetTitle] de son époque.;Von den alten Römern inspiriert, vertieft sich  [From.OriginalOwner.GetTitledFirstName] in den philosophischen Aspekten der Gesellschaft und insbesondere [From.OriginalOwner.GetHerHis]e eigene Rolle als monderne[From.OriginalOwner.GetrMale] [From.OriginalOwner.GetManWoman] und [From.OriginalOwner.GetTitle].;;Inspirándose en los antiguos romanos, [From.OriginalOwner.GetTitledFirstName] ahonda en los aspectos más filosóficos de la sociedad. En particular sobre su propio papel en ella, como [From.OriginalOwner.GetManWoman] moderno/a y [From.OriginalOwner.GetTitle].;;;;;;;;;x
unnatural_history;Unnatural History;Histoire contre nature;Unnatürliche Geschichte;;Historia antinatural;;;;;;;;;x
unnatural_history_desc;While Pliny the Elder described his 'Naturalis Historia' as a work of the natural world and life, in this book [From.OriginalOwner.GetTitledName] instead discusses at length 'the veil beyond' and the death of all things living...;Tandis que Pline l'Ancien a décrit son 'Naturalis Historia' comme une œuvre sur le monde et la vie naturels, dans ce livre [From.OriginalOwner.GetTitledName] traite en profondeur de l'au-delà et de la mort de toute chose vivante...;Während Plinius der Ältere sein Werk "Naturalis historia" als Werk der natürlichen Welt und des Lebens beschrieb, diskutiert [From.OriginalOwner.GetTitledName] in diesem Buch stattdessen über den "Schleier des jenseits" und den Tod aller Dinge... ;;Plinio el Viejo describió su 'Historia Natural' como una obra sobre el mundo natural y la vida, pero en este libro [From.OriginalOwner.GetTitledName] trata profundamente sobre 'el velo más allá' y la muerte de todos los seres vivos…;;;;;;;;;x
the_confessions_of_root;The Confessions of [From.OriginalOwner.GetTitledFirstName];Les Confessions de [From.OriginalOwner.GetTitledFirstName];Die Bekenntnisse von [From.OriginalOwner.GetTitledFirstName];;Confesiones de [From.OriginalOwner.GetTitledFirstName];;;;;;;;;x
the_confessions_of_root_desc;This supposedly autobiographical work tells a moving tale of a young [From.OriginalOwner.GetTitle] struggling with temptation. It also offers some advice on how to avoid and deal with such issues, before it's too late.;Ce travail prétendument autobiographique raconte l'histoire touchante d'un[From.OriginalOwner.GetNoneE] jeune [From.OriginalOwner.GetTitle];Diese vermeintlich Autobiographie erzählt die bewegte Geschichte [From.OriginalOwner.Geteineseiner] jungen [From.OriginalOwner.GetTitle], [From.OriginalOwner.Getderdie] mit der Versuchung kämpft. Sie gibt auch einige Ratschläge, wie man vermeiden kann, mit solchen Fragen konfrontiert zu werden.;;Esta obra supuestamente autobiográfica narra una historia conmovedora de un/a joven [From.OriginalOwner.GetTitle] que lucha contra la tentación. También ofrece consejos de cómo evitarla y tratar con tales asuntos antes de que sea demasiado tarde.;;;;;;;;;x
the_book_of_healing;Kitab al-Shifa;Kitab al-Shifa;Kitab al-Schifa;;Kitab al-Shifa;;;;;;;;;x
the_book_of_healing_desc;'The Book of Healing' strives to inspire and enlighten the mind. As a result you will find a wide range of topics covered in this encyclopedia, ranging from the natural sciences, to theological discussions on the topic of [From.OriginalOwner.Religion.GetHighGodName]'s existence.;'Le livre de la guérison' s'efforce d'inspirer et d'éclairer l'esprit. En conséquence, vous trouverez une large gamme de sujets couverts par cette encyclopédie, allant des sciences naturelles aux discussions théologiques sur l'existence [From.OriginalOwner.GetTrueReligionHighGodDuDelaDes].;Das "Buch der Heilung" versucht den Geist anzuregen und zu erleuchten. Als Ergebnis enthält diese Enzyklopädie eine breite Palette von Themen der Naturwissenschaften bis hin zu theologischen Diskussionen über die Existenz von [From.OriginalOwner.Religion.GetHighGodName]'.;;'El libro de la curación' se esfuerza por inspirar e iluminar la mente. Como resultado, esta enciclopedia abarca un amplio registro de temas, de ciencias naturales a discusiones teológicas sobre la cuestión de la existencia de [From.OriginalOwner.Religion.GetHighGodName].;;;;;;;;;x
human_anatomy;Human Anatomy;Anatomie humaine;Menschliche Anatomie;;Anatomía humana;;;;;;;;;x
human_anatomy_desc;While on the grisly side, the descriptions are, according to contemporary scholars, fairly accurate.;Malgré l'aspect macabre, les descriptions sont, les érudits contemporains, assez précises.;Wenn oft auch schauerlich beschrieben, beschreibt es einigen zeitgenössischen Gelehrten die Abläufe ziemlich Akkurat. ;;Aunque sus descripciones entran en lo macabro, los estudios contemporáneos dicen que son bastante acertadas.;;;;;;;;;x
maladies_and_remedies;Common Maladies and their Remedies;Maladies courantes et leurs remèdes;Häufige Krankheiten und ihre Heilmittel;;Dolencias comunes y sus remedios;;;;;;;;;x
maladies_and_remedies_desc;Whether your affliction be external or internal, this medical text has at least one chapter of interest to you.;Que votre affliction soit externe ou interne, ce texte médical aura au moins un chapitre qui vous intéresse.;Egal, ob das Leiden äußerlich oder innerlich ist, dieser medizinische Text hat mindestens ein interessantes Kapitel darüber.;;Ya tengas una dolencia interna o externa, este texto médico tiene al menos un capítulo que te interesará.;;;;;;;;;x
comforting_poetry;The Comforting Boulder;Le rocher réconfortant;Der beruhigende Fels;;La roca que conforta;;;;;;;;;x
comforting_poetry_desc;Once composed by [From.OriginalOwner.GetTitledFirstName], this personal notebook is filled with poems, all tackling the isolation and solitude of [From.OriginalOwner.GetHerHis] tormented existence. One can only assume that the [From.OriginalOwner.GetTitle] found the words comforting.;Autrefois composé par [From.OriginalOwner.GetTitledFirstName], ce carnet personnel est rempli de poèmes évoquant l'isolement et la solitude de son existence tourmentée. On peut seulement supposer que le [From.OriginalOwner.GetTitle] a trouvé du réconfort dans ces mots.;Einst von [From.OriginalOwner.GetTitledFirstName] komponiert, ist dieses persönliche Notizbuch mit Gedichten gefüllt, die die Isolation und Einsamkeit [From.OriginalOwner.GetHerHis]er gepeinigten Existenz beschreiben. Man kann nur annehmen, dass [From.OriginalOwner.Getderdie] [From.OriginalOwner.GetTitle] die Worte beruhigend fand.;;Redactado por [From.OriginalOwner.GetTitledFirstName], este cuaderno de notas personales está llenos de poemas que abordan el aislamiento y la soledad de su existencia atormentada. Solo podemos suponer que el [From.OriginalOwner.GetTitle] halló consuelo en sus palabras;;;;;;;;;x
equine_maxims;Equine Maxims;Maxime équine;Redewendungen;;Equine Maxims;;;;;;;;;x
equine_maxims_rename;Equine Maxims, in honor of [dedication_target.GetFirstName];Maxime chevaline, en l'honneur de [dedication_target.GetFirstName];Redewendungen zu Ehren von [dedication_target.GetFirstName];;Equine Maxims, en honor a [dedication_target.GetFirstName];;;;;;;;;x
equine_maxims_desc;A manuscript full of wisdom and idioms, from 'Hold your horses!', tracing back to Roman antiquity, to the more recent and commonly used 'You can lead a horse to water, but you can't make it Pope'.;Un manuscrit plein de sagesse et d'idiomes, de « Monter sur ses grands chevaux », datant de l'antiquité romaine, aux plus récents et couramment utilisés comme « Vous pouvez mener un cheval à l'eau, mais vous ne pouvez pas en faire un pape ».;Ein Manuskript voller Weisheit und Redewendungen.;;Un manuscrito lleno de sabiduría y refranes, desde 'La suerte está echada' que se remonta a la antigua Roma, hasta el más reciente y común 'Se puede llevar un caballo al agua, pero no se le puede hacer Papa'.;;;;;;;;;x
equine_sequins;Equine Sequins;Paillette équine;Kleider machen Leute;;Equine Sequins;;;;;;;;;x
equine_sequins_desc;Dressing the tallest members of your aristocracy can be a challenge. This instruction manual for tailors and seamstresses will make your life easier.;Habiller les plus grands membres de votre aristocratie peut être un véritable défi. Ce manuel d'instructions pour les tailleurs et les couturières vous facilitera la vie.;Das Ankleiden des größten Aristokraten kann eine Herausforderung sein. Diese Bedienungsanleitung für Schneider und Näherinnen macht ihr Leben leichter.;;Vestir a los miembros más altos de la aristocracia puede ser un desafío. Este manual de instrucciones para sastres y costureras nos harán la vida más fácil.;;;;;;;;;x
to_my_descendants;To My Descendants, by [From.OriginalOwner.GetTitledFirstName];À mes descendants, par [From.OriginalOwner.GetTitledFirstName];An meine Nachkommen, von [From.OriginalOwner.GetTitledFirstName];;A mis descendientes, de [From.OriginalOwner.GetTitledFirstName];;;;;;;;;x
to_my_descendants_desc;While perhaps well-intended, this work reads as a stale lecture on what a member of the [From.OriginalOwner.GetOnlyDynastyName] family should and should not do.;Bien que sans doute bien intentionné, ce travail est considéré comme des considérations éculées sur ce qu'un membre de la famille [From.OriginalOwner.GetOnlyDynastyName] doit ou ne doit pas faire.;Vielleicht mit Absicht, beschreibt diese Arbeit, was ein Mitglied der [From.OriginalOwner.GetOnlyDynastyName]-Familie tun sollte und was nicht.;;Aunque tal vez tuviera buenas intenciones, este trabajo es un aburrido sermón sobre lo que un miembro de la familia [From.OriginalOwner.GetOnlyDynastyName] debe hacer o no.;;;;;;;;;x
records_of_roots_dynasty;Records of the [From.OriginalOwner.GetOnlyDynastyName];Le registre de la Maison [From.OriginalOwner.GetOnlyDynastyName];Aufzeichnungen der [From.OriginalOwner.GetOnlyDynastyName];;Recuerdos de [From.OriginalOwner.GetOnlyDynastyName];;;;;;;;;x
records_of_roots_dynasty_desc;This collection of names lists all the noteworthy members of [From.OriginalOwner.GetOnlyDynastyName], as well as their spouses. Note that illegitimate children are mysteriously missing from the records.;Cette collection de noms est la liste des membres notables de la Maison [From.OriginalOwner.GetOnlyDynastyName], et de leurs conjoints. Il convient de noter que les enfants illégitimes sont mystérieusement absents.;Diese Namenssammlung listet alle bemerkenswerten Mitglieder des Hauses [From.OriginalOwner.GetOnlyDynastyName] und deren Ehegatten auf. Unrechtmäßige Kinder fehlen merkwürdigerweise.;;Esta recopilación de nombres enumera todos los miembros destacados de los [From.OriginalOwner.GetOnlyDynastyName], así como sus cónyuges. Observemos que todos los hijos ilegítimos desaparecen de los registros.;;;;;;;;;x
the_legend_of_roots_ancestors_1;The [From.OriginalOwner.GetOnlyDynastyName] Records;Le Registre de la Maison [From.OriginalOwner.GetOnlyDynastyName];Aufzeichnungen der [From.OriginalOwner.GetOnlyDynastyName];;Los recuerdos de los [From.OriginalOwner.GetOnlyDynastyName];;;;;;;;;x
the_legend_of_roots_ancestors_1_desc;A [From.OriginalOwner.GetTitle] must do all in [From.OriginalOwner.GetHerHis] power to highlight the glories of [From.OriginalOwner.GetHerHis] house. This tome sets a decent standard.;Un[From.OriginalOwner.GetNoneE] [From.OriginalOwner.GetTitle] doit faire tout ce qui est en son pouvoir pour surligner les gloires de sa Maison. Cet ouvrage en est un exemple décent.;[From.OriginalOwner.GetEinEine] [From.OriginalOwner.GetTitle] muss alles in [From.OriginalOwner.GetHerHis]er Macht stehende tun, um dem Ruhm [From.OriginalOwner.GetHerHis]es Hauses hervorzuheben. Dieses Buch setzt einen geeigneten Standard.;;Un [From.OriginalOwner.GetTitle] debe hacer todo cuando esté en su mano para realzar las glorias de su casa. Este volumen tiene un nivel decente.;;;;;;;;;x
