#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
secretly_convert_to_shiite_holy_site_desc;The §YShiite§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ychiites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yschiitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ychiíes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_ibadi_holy_site;Secretly Convert to Ibadi;Adopter en secret la foi ibadite;Heimlich zum Ibadi-Glauben konvertieren;;Convertirse en secreto a la religión ibadí;;;;;;;;;x
secretly_convert_to_ibadi_holy_site_desc;The §YIbadi§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yibadites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §YIbadi§!-Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yibadíes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_jewish_holy_site;Secretly Convert to Jewish;Adopter en secret la foi juive;Heimlich zum Judentum konvertieren;;Convertirse en secreto a la religión judía;;;;;;;;;x
secretly_convert_to_jewish_holy_site_desc;The §YJewish§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yjuifs§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yjüdischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yjudíos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_zoroastrian_holy_site;Secretly Convert to Zoroastrian;Adopter en secret la foi zoroastrienne;Heimlich zum Zoroastrismus konvertieren;;Convertirse en secreto a la religión zoroastriana;;;;;;;;;x
secretly_convert_to_zoroastrian_holy_site_desc;The §YZoroastrian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yzoroastriens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yzoroastrischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yzoroastrianos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_hindu_holy_site;Secretly Convert to Hindu;Adopter en secret la foi hindoue;Heimlich zum hinduistischen Glauben konvertieren;;Convertirse en secreto a la religión hindú;;;;;;;;;x
secretly_convert_to_hindu_holy_site_desc;The §YHindu§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yhindous§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yhinduistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yhindúes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_buddhist_holy_site;Secretly Convert to Buddhist;Adopter en secret la foi bouddhiste;Heimlich zum Buddhismus konvertieren;;Convertirse en secreto a la religión budista;;;;;;;;;x
secretly_convert_to_buddhist_holy_site_desc;The §YBuddhist§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ybouddhistes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ybuddhistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ybudistas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_jain_holy_site;Secretly Convert to Jain;Adopter en secret la foi jaïne;Heimlich zum Jainismus konvertieren;;Convertirse en secreto a la religión jainista;;;;;;;;;x
secretly_convert_to_jain_holy_site_desc;The §YJain§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yjaïns§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yjainistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yjainistas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_norse_pagan_holy_site;Secretly Convert to Germanic;Adopter en secret la foi germanique;Heimlich zum germanischen Glauben konvertieren;;Convertirse en secreto a la religión germánica;;;;;;;;;x
secretly_convert_to_norse_pagan_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ygermaniques§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ygermanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ygermánicos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_norse_pagan_reformed_holy_site;Secretly Convert to Germanic;Adopter en secret la foi germanique;Heimlich zum germanischen Glauben konvertieren;;Convertirse en secreto a la religión germánica;;;;;;;;;x
secretly_convert_to_norse_pagan_reformed_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ygermaniques§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ygermanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ygermánicos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_slavic_pagan_holy_site;Secretly Convert to Slavic;Adopter en secret la foi slave;Heimlich zum slawischen Glauben konvertieren;;Convertirse en secreto a la religión eslava;;;;;;;;;x
secretly_convert_to_slavic_pagan_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yslaves§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yslawischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yeslavos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_slavic_pagan_reformed_holy_site;Secretly Convert to Slavic;Adopter en secret la foi slave;Heimlich zum slawischen Glauben konvertieren;;Convertirse en secreto a la religión eslava;;;;;;;;;x
secretly_convert_to_slavic_pagan_reformed_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yslaves§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yslawischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yeslavos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_tengri_pagan_holy_site;Secretly Convert to Tengri;Adopter en secret la foi tengriste;Heimlich zum tengrischen Glauben konvertieren;;Convertirse en secreto a la religión tengrista;;;;;;;;;x
secretly_convert_to_tengri_pagan_holy_site_desc;The §YTengri§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ytengristes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ytengrischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ytengristas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_tengri_pagan_reformed_holy_site;Secretly Convert to Tengri;Adopter en secret la foi tengriste;Heimlich zum tengrischen Glauben konvertieren;;Convertirse en secreto a la religión tengrista;;;;;;;;;x
secretly_convert_to_tengri_pagan_reformed_holy_site_desc;The §YTengri§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ytengristes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ytengrischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ytengristas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_baltic_pagan_holy_site;Secretly Convert to Romuva;Adopter en secret la foi romuvienne;Heimlich zum romuvanischen Glauben konvertieren;;Convertirse en secreto a la religión romuvana;;;;;;;;;x
secretly_convert_to_baltic_pagan_holy_site_desc;The §YRomuva§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yromuviens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yromuvanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yromuvanos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_baltic_pagan_reformed_holy_site;Secretly Convert to Romuva;Adopter en secret la foi romuvienne;Heimlich zum romuvanischen Glauben konvertieren;;Convertirse en secreto a la religión romuvana;;;;;;;;;x
secretly_convert_to_baltic_pagan_reformed_holy_site_desc;The §YRomuva§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yromuviens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Yromuvanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yromuvanos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_finnish_pagan_holy_site;Secretly Convert to Suomenusko;Adopter en secret la foi suomenusko;Heimlich zum suomenuskischen Glauben konvertieren;;Convertirse en secreto a la religión suomenusca;;;;;;;;;x
secretly_convert_to_finnish_pagan_holy_site_desc;The §YSuomenusko§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ysuomenuskos§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.GetNoneE] de me convertir en secret...;Die §Ysuomenuskischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ysuomenuscos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
